Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
232,1.0,self,1,655.155360127,55.2829495511,True
268,7.0,cashier,0,0.0,21.1751355013,False
265,29.0,cashier,3,0.0,55.2365891897,False
263,36.0,cashier,2,0.0,119.749341545,False
266,25.0,cashier,4,0.0,79.410571555,False
237,2.0,self,1,643.482318251,59.5152905958,False
238,1,self,1,681.650068349,34.5684007826,False
194,20.0,self,2,384.393181574,1343.06143382,True
271,24.0,cashier,0,0.0,72.6004645759,False
272,27.0,cashier,1,0.0,54.7051987214,False
196,4.0,self,2,1620.8710151,149.088981355,False
207,2.0,self,2,1500.38420119,47.0084853129,False
279,10.0,cashier,2,0.0,33.2637059847,False
275,36.0,cashier,0,0.0,108.900696864,False
278,33.0,cashier,1,0.0,66.8619095484,False
281,6.0,cashier,2,0.0,19.9582235908,False
280,23.0,cashier,3,0.0,43.8083293573,False
284,5.0,cashier,0,0.0,15.1250967866,False
215,2.0,self,2,1396.45067361,71.8057202748,False
217,1,self,2,1412.84300859,15.3585929021,False
250,3.0,self,1,496.782025749,358.956518743,True
283,27.0,cashier,4,0.0,85.7634172794,False
249,10.0,self,0,281.892446334,604.097167285,False
288,5.0,cashier,2,0.0,16.6318529924,False
287,20.0,cashier,1,0.0,40.5223694233,False
286,27.0,cashier,0,0.0,81.6755226479,False
267,3.0,self,1,476.434102088,61.6086816084,True
290,5.0,cashier,1,0.0,10.1305923558,False
274,5.0,self,1,278.616306336,90.3830824509,False
289,33.0,cashier,0,0.0,99.8256387919,False
253,8.0,self,0,835.347433695,181.735616301,False
291,33.0,cashier,1,0.0,66.8619095484,False
220,18.0,self,2,1343.43098828,280.100452878,False
294,18.0,cashier,0,0.0,54.4503484319,False
256,4.0,self,0,944.841699338,108.345663633,False
221,4.0,self,2,1608.39943046,91.8678149602,False
300,6.0,cashier,4,0.0,19.0585371732,False
296,29.0,cashier,1,0.0,58.7574356637,False
298,24.0,cashier,3,0.0,45.7130393294,False
297,26.0,cashier,2,0.0,86.4856355603,False
303,6.0,cashier,1,0.0,12.156710827,False
243,3.0,self,2,1281.05928968,74.8164240695,False
292,7.0,self,1,0.0,225.323691529,False
299,36.0,cashier,0,0.0,108.900696864,False
301,16.0,cashier,2,47.6591209236,53.2219295756,False
270,2.0,self,0,709.995121679,125.78502771,False
304,23.0,cashier,1,0.0,46.6007248368,False
309,6.0,cashier,2,0.0,19.9582235908,False
306,23.0,cashier,3,0.0,43.8083293573,False
302,21.0,cashier,0,83.7108248538,63.5254065039,False
252,4.0,self,2,1226.16834797,95.684860592,True
307,26.0,cashier,4,0.0,82.5869944172,False
276,3.0,self,0,597.756841296,69.1073056904,False
311,31.0,cashier,1,0.0,62.8096726061,False
255,2.0,self,2,1257.64855745,41.4593812985,False
295,4.0,self,1,149.932168537,155.58486617,False
313,19.0,cashier,1,0.0,38.4962509521,False
258,2.0,self,2,1243.92627716,92.7925932273,False
316,19.0,cashier,3,0.0,36.1894894691,False
319,6.0,cashier,3,0.0,11.4282598323,False
314,3.0,self,0,0.0,73.4824604753,False
317,24.0,cashier,1,0.0,48.6268433079,False
269,1,self,2,1040.57781372,24.3159183404,False
312,32.0,cashier,0,0.0,96.8006194346,False
315,28.0,cashier,2,0.0,93.1383767573,False
318,21.0,cashier,4,0.0,66.7048801062,False
305,6.0,self,1,152.147671034,144.49077025,True
273,2.0,self,2,883.739994725,45.8802545222,False
320,18.0,cashier,2,38.5555259995,59.8746707725,False
323,5.0,cashier,1,0.0,10.1305923558,False
277,1.0,self,2,864.105890589,49.5308239183,True
321,3.0,self,0,0.0,114.824252265,False
324,22.0,cashier,3,0.0,41.9036193853,False
325,18.0,cashier,1,0.0,36.4701324809,False
322,31.0,cashier,0,0.0,93.7756000772,False
327,1,self,0,0.0,28.0280058685,False
328,29.0,cashier,0,0.0,87.7255613626,False
330,11.0,cashier,2,0.0,36.5900765832,False
329,23.0,cashier,1,0.0,46.6007248368,False
331,28.0,cashier,3,0.0,53.3318792176,False
282,5.0,self,2,844.138357681,224.568912066,False
332,19.0,cashier,0,0.0,57.4753677893,False
333,29.0,cashier,1,0.0,58.7574356637,False
337,7.0,cashier,4,0.0,22.2349600354,False
335,15.0,cashier,2,0.0,49.8955589771,False
336,28.0,cashier,3,0.0,53.3318792176,False
338,5.0,cashier,2,28.8904215279,16.6318529924,False
310,4.0,self,1,263.218282745,362.730789285,True
285,3.0,self,2,1014.32250697,99.9431232259,True
334,1.0,self,0,0.0,110.000046972,True
341,5.0,cashier,1,0.0,10.1305923558,False
340,25.0,cashier,0,0.0,75.6254839333,False
293,4.0,self,2,848.235761066,69.6950829173,False
345,9.0,cashier,1,0.0,18.2350662405,False
339,4.0,self,1,2.88725148005,122.129465901,False
342,2.0,self,0,0.0,110.135777804,False
344,20.0,cashier,0,0.0,60.5003871466,False
346,22.0,cashier,1,0.0,44.5746063656,False
350,5.0,cashier,1,0.0,10.1305923558,False
348,27.0,cashier,0,0.0,81.6755226479,False
351,5.0,cashier,1,0.0,10.1305923558,False
308,4.0,self,2,725.632566306,147.92544175,True
353,8.0,cashier,0,0.0,24.2001548586,False
347,4.0,self,1,0.0,155.623521432,True
354,15.0,cashier,1,0.0,30.3917770674,False
343,5.0,self,0,81.9601487463,186.482112431,False
357,27.0,cashier,0,0.0,81.6755226479,False
359,20.0,cashier,1,0.0,40.5223694233,False
356,3.0,self,0,0.0,101.081415076,False
361,19.0,cashier,2,0.0,63.201041371,False
362,5.0,cashier,0,0.0,15.1250967866,False
326,3.0,self,2,525.529588132,307.936736709,False
364,35.0,cashier,1,0.0,70.9141464907,False
349,1,self,2,386.308495597,26.4762456637,False
365,9.0,cashier,0,0.0,27.225174216,False
366,6.0,cashier,0,0.0,18.150116144,False
363,2.0,self,2,75.391381399,48.2262487681,True
367,19.0,cashier,1,0.0,38.4962509521,False
369,6.0,cashier,0,0.0,18.150116144,False
358,4.0,self,0,68.0342977735,225.83282643,True
352,14.0,self,1,39.0495965218,409.452565057,False
355,1,self,1,415.408881121,36.9164417136,True
374,14.0,cashier,1,0.0,28.3656585963,False
370,29.0,cashier,0,0.0,87.7255613626,False
368,7.0,self,2,17.393158441,145.383900078,True
360,2.0,self,1,331.501547777,52.0052679387,False
371,4.0,self,0,0.0,133.841238135,True
376,37.0,cashier,0,0.0,111.925716221,False
377,26.0,cashier,1,0.0,52.6790802502,False
380,6.0,cashier,1,0.0,12.156710827,False
372,3.0,self,1,109.970091861,143.240360074,False
381,6.0,cashier,2,0.0,19.9582235908,False
378,3.0,self,0,0.0,121.219205467,True
382,20.0,cashier,1,0.0,40.5223694233,False
379,27.0,cashier,0,0.0,81.6755226479,False
373,3.0,self,1,221.642617683,65.2400495164,True
383,21.0,cashier,1,0.0,42.5484878944,False
387,9.0,cashier,1,0.0,18.2350662405,False
384,4.0,self,0,0.0,92.4447244702,True
386,28.0,cashier,0,0.0,84.7005420052,False
